Metals	ccd_ids
Ru	B1R,A1IR7,HB1,RU1,HRU,FLL,R6U,A1JKD,8CY,KYT,9RU,RUI,DW1,UT9,RUX,A1H5O,RAX,5LN,JCT,D0X,A1JKO,JM1,4A6,9QB,OS1,A1IXK,E52,JSC,A1IXJ,9Q8,JSE,U0J,RUC,T9L,KYS,LSI,T9U,RUD,A1IPF,A1JKP,DW2,A1JJS,RBN,RUH,JSD,RSW,T8K,A1JKE,0H2,RU2,AG1,498,TDJ,7G4,SRX,R5J,E3D,RPS,3UQ,ME3,RU7,A1JJD,067
Rh	0OD,VR8,VRE,C4R,U8G,A1AVD,RHX,JSU,ORS,RMD,R1N
Os	O1N,DWC,ELJ,8WV,1MK
Ir	X4E,O39,HIR,X1U,J0N,X1O,X1C,J0K,OT1,IRQ,WZN,RIR,JR3,KKC,4IR,JR8,VL2,O3L,2T8,8TH,T8F,NOF,X2Q,X1I,9TH,X0E,X2B,VKZ
Hg	EMT,MBO,U5J,EMC,4DR,BE7,AAS,HGB,MMC,CMH,PHG,PMB,HGC,AMS,31Q,T0M
Pt	ZPT,R0I,EL9,ZJZ,PT7,NXC,J9H,DW5,3G0,A1E4Z,5L1,DVW
Fe	4WX,FE9,ICS,ICZ,L8W,H58,84A,FNE,670,S5Q,VHR,HCN,H57,J52,A1IW2,B6F,D6N,HC0,NFV,NFE,ICH,NFB,E25,B9F,LFH,H79,WUF,HBF,ICE,ICG,FC6,NFU,CFC,4WW,FCO,6CO,NFC,NFR,NFO,BTF,4HE,9SQ,6SG,FEM,402,EJ2,MHX,NT3,8P8,NWN,UZC,FU8,6CQ,4WV,HC1
Au	UFW,FTQ,51O,U4E,U4H,RMH,6O0,AUC,A1IRM
Ni	82N,UWE,J52,TCN
Co	A1ER6,A1BE1,A1BEU,A1BEW,A1BES,CB5,A1BER,A1BE0,OY8,OWK,A1BEZ,B1Z,COY,OSW,OY5,9UK,96W,A1BEY,A1AWO,CNC,A1BEN,B8B,A1BI7,COB,A1BEX,A1BET
Mo	CUB
Re	RRE,REI,KBW,VHL,REJ,REP,RTC,RCS,REQ
Mn	MN4,XTX
Pb	ZN9,PBM,ZN7
Pd	SVP,SXC,PLL
Sn	ZN0,ZN8,T9T,TBY,QLT,ZN6,ZN5
