Element	Percent-threshold	Geometry-exclusion-FindGeo	Geometry-exclusion-MetalCoord
Ac	10		
Ag	10		
Al	10		
Am	10		
Au	10		
Ba	10		
Be	10		
Bi	10		
Ca	10		
Cd	10		
Ce	10		
Cf	10		
Cm	10		
Co	10		
Cr	10		
Cs	10		
Cu	10		
Dy	10		
Er	10		
Eu	10		
Fe	15		
Ga	10		
Gd	10		
Hf	10		
Hg	10		
Ho	10		
In	10		
Ir	10		
K	10		
La	10		
Li	10		
Lu	10		
Mg	10	square plane	square-planar
Mn	10		
Mo	10		
Na	10		
Nd	10		
Ni	10		
Os	10		
Pb	10		
Pd	10		
Pr	10		
Pt	10		
Pu	10		
Rb	10		
Re	10		
Rh	10		
Ru	10		
Sc	10		
Sm	10		
Sn	10		
Sr	10		
Ta	10		
Tb	10		
Th	10		
Ti	10		
Tl	10		
U	10		
V	10		
W	10		
Y	10		
Yb	10		
Zn	10		
Zr	10		
